Time Interval,Edge 1,Edge 2,Edge 3,Edge 4,Edge 5,Edge 6,Edge 7,Edge 8,Edge 9,Edge 10,Edge 11,Edge 12,Edge 13,Edge 14,Edge 15,Edge 16,Edge 17,Edge 18,Edge 19
2024-06-03 09:50:00 - 2024-06-03 09:55:00,48,32,7,5,7,0,17,13,39,3,7,9,16,10,4,18,33,8,31
2024-06-03 09:55:00 - 2024-06-03 10:00:00,73,45,18,11,8,0,28,21,26,10,14,19,15,9,4,9,30,5,40
2024-06-03 10:00:00 - 2024-06-03 10:05:00,54,33,11,8,15,0,21,14,30,13,18,6,21,7,5,11,39,6,51
2024-06-03 10:05:00 - 2024-06-03 10:10:00,44,30,9,4,8,0,34,16,26,5,11,6,13,12,6,8,37,5,37
2024-06-03 10:10:00 - 2024-06-03 10:15:00,50,33,13,6,12,0,24,18,34,9,20,13,21,11,11,7,29,6,23
2024-06-03 10:15:00 - 2024-06-03 10:20:00,44,27,12,6,8,0,22,20,28,10,14,8,15,14,4,9,35,5,26
2024-06-03 10:20:00 - 2024-06-03 10:25:00,55,34,18,8,6,0,17,21,28,7,10,10,11,10,3,9,43,4,44
2024-06-03 10:25:00 - 2024-06-03 10:30:00,55,33,12,9,3,0,16,16,30,7,10,5,9,9,3,9,31,4,49
2024-06-03 10:30:00 - 2024-06-03 10:35:00,58,33,14,11,10,0,19,17,33,6,9,9,6,8,3,4,22,3,34
2024-06-03 10:35:00 - 2024-06-03 10:40:00,60,36,14,9,14,0,16,15,26,10,22,7,10,5,12,8,33,7,33
2024-06-03 10:40:00 - 2024-06-03 10:45:00,56,36,9,7,11,0,30,15,32,10,14,6,24,11,4,20,34,8,51
2024-06-03 10:45:00 - 2024-06-03 10:50:00,57,33,19,10,7,0,21,21,35,15,20,8,10,9,5,12,26,6,45
2024-06-03 10:50:00 - 2024-06-03 10:55:00,45,27,12,7,4,0,15,21,23,8,14,7,14,16,6,7,34,5,45
2024-06-03 10:55:00 - 2024-06-03 11:00:00,56,36,10,6,7,0,18,15,30,10,18,10,12,9,8,9,42,6,42
2024-06-03 11:00:00 - 2024-06-03 11:05:00,46,29,12,6,8,0,13,18,33,10,18,9,12,11,8,7,36,5,45
2024-06-03 11:05:00 - 2024-06-03 11:10:00,54,38,9,3,7,0,28,13,38,9,16,5,15,8,7,11,28,6,45
2024-06-03 11:10:00 - 2024-06-03 11:15:00,60,41,20,5,11,0,16,23,40,12,21,7,16,10,9,11,32,7,48
2024-06-03 11:15:00 - 2024-06-03 11:20:00,66,38,15,12,5,0,22,21,30,6,22,12,18,12,16,6,49,8,47
2024-06-03 11:20:00 - 2024-06-03 11:25:00,43,27,14,6,7,0,17,18,30,9,17,9,16,10,8,12,38,7,48
2024-06-03 11:25:00 - 2024-06-03 11:30:00,53,33,10,7,11,0,22,14,33,9,15,6,16,8,6,12,32,6,57
2024-06-03 11:30:00 - 2024-06-03 11:35:00,62,37,19,10,7,0,25,23,34,9,17,5,13,11,8,11,32,7,50
2024-06-03 11:35:00 - 2024-06-03 11:40:00,59,37,16,8,12,0,33,24,26,8,11,5,21,15,3,13,45,6,46
2024-06-03 11:40:00 - 2024-06-03 11:45:00,56,31,15,12,6,0,22,22,28,11,20,3,19,14,9,16,32,9,45
2024-06-03 11:45:00 - 2024-06-03 11:50:00,59,39,11,6,12,0,21,15,21,19,26,6,16,8,7,12,28,7,51
2024-06-03 11:50:00 - 2024-06-03 11:55:00,72,48,8,7,10,0,29,12,44,12,22,12,15,7,10,10,28,7,37
2024-06-03 11:55:00 - 2024-06-03 12:00:00,66,42,25,8,8,0,30,26,40,14,24,14,21,9,10,14,30,8,56
2024-06-03 12:00:00 - 2024-06-03 12:05:00,53,29,20,12,11,0,31,21,27,11,21,9,20,7,10,15,38,9,50
2024-06-03 12:05:00 - 2024-06-03 12:10:00,59,39,21,6,9,0,18,21,29,18,30,12,21,7,12,17,37,10,63
2024-06-03 12:10:00 - 2024-06-03 12:15:00,68,45,15,7,13,0,14,17,46,20,25,9,19,7,5,10,45,5,50
2024-06-03 12:15:00 - 2024-06-03 12:20:00,57,35,14,9,8,0,20,23,28,10,20,3,13,16,10,9,46,7,51
2024-06-03 12:20:00 - 2024-06-03 12:25:00,65,41,14,9,9,0,16,18,52,5,10,6,15,10,5,13,35,6,47
2024-06-03 12:25:00 - 2024-06-03 12:30:00,61,40,12,6,6,0,18,21,34,7,20,9,18,15,13,16,35,10,48
2024-06-03 12:30:00 - 2024-06-03 12:35:00,47,28,9,8,10,0,26,14,27,9,17,6,20,9,8,15,43,8,49
2024-06-03 12:35:00 - 2024-06-03 12:40:00,67,44,19,7,5,0,22,21,38,7,15,3,21,9,8,13,47,7,41
2024-06-03 12:40:00 - 2024-06-03 12:45:00,70,48,10,5,6,0,22,18,44,11,17,8,16,14,6,10,42,6,58
2024-06-03 12:45:00 - 2024-06-03 12:50:00,89,57,21,11,6,0,22,25,48,9,15,9,18,12,6,14,35,7,61
2024-06-03 12:50:00 - 2024-06-03 12:55:00,64,43,11,6,4,0,18,21,48,7,20,10,14,17,13,12,49,9,58
2024-06-03 12:55:00 - 2024-06-03 13:00:00,65,41,23,9,5,0,23,24,35,8,17,3,24,9,9,13,48,8,57
2024-06-03 13:00:00 - 2024-06-03 13:05:00,60,41,18,5,12,0,18,24,56,10,20,9,17,13,10,18,51,10,70
2024-06-03 13:05:00 - 2024-06-03 13:10:00,71,50,17,4,7,0,19,24,36,10,21,8,25,14,11,18,45,10,65
2024-06-03 13:10:00 - 2024-06-03 13:15:00,66,43,14,7,5,0,36,20,53,8,13,6,23,12,5,17,41,8,63
2024-06-03 13:15:00 - 2024-06-03 13:20:00,54,36,13,6,8,0,20,21,26,11,17,11,15,14,6,13,45,7,59
2024-06-03 13:20:00 - 2024-06-03 13:25:00,52,35,14,5,7,0,17,16,35,11,21,6,19,7,10,15,32,9,56
2024-06-03 13:25:00 - 2024-06-03 13:30:00,77,48,20,10,5,0,18,21,41,10,16,7,22,8,6,15,34,7,60
2024-06-03 13:30:00 - 2024-06-03 13:35:00,74,46,13,10,12,0,30,16,34,12,26,10,22,8,14,11,50,9,63
2024-06-03 13:35:00 - 2024-06-03 13:40:00,70,49,14,4,9,0,32,20,47,17,27,4,20,12,10,10,47,7,66
2024-06-03 13:40:00 - 2024-06-03 13:45:00,46,30,14,6,9,0,18,18,29,15,27,5,16,9,12,11,38,8,59
2024-06-03 13:45:00 - 2024-06-03 13:50:00,54,33,14,8,11,0,25,16,29,13,21,3,17,7,8,10,29,6,50
2024-06-03 13:50:00 - 2024-06-03 13:55:00,80,54,11,6,3,0,27,13,49,5,8,10,20,6,3,12,46,5,46
2024-06-03 13:55:00 - 2024-06-03 14:00:00,65,39,18,10,5,0,25,19,30,7,11,9,11,7,4,5,39,3,49
2024-06-03 14:00:00 - 2024-06-03 14:05:00,48,30,14,6,6,0,25,19,34,6,17,4,20,11,11,10,24,7,51
2024-06-03 14:05:00 - 2024-06-03 14:10:00,65,42,14,8,3,0,41,18,35,4,15,2,25,9,11,14,32,9,51
2024-06-03 14:10:00 - 2024-06-03 14:15:00,51,29,13,10,5,0,21,14,29,7,18,5,19,5,11,13,51,8,51
2024-06-03 14:15:00 - 2024-06-03 14:20:00,63,42,13,6,7,0,16,17,30,8,21,7,22,9,13,10,39,8,55
2024-06-03 14:20:00 - 2024-06-03 14:25:00,66,43,10,7,7,0,28,18,37,13,23,9,17,13,10,9,45,7,58
2024-06-03 14:25:00 - 2024-06-03 14:30:00,65,41,16,9,6,0,20,23,38,16,18,14,13,14,2,10,44,4,51
2024-06-03 14:30:00 - 2024-06-03 14:35:00,60,39,20,6,4,0,21,23,41,9,16,7,13,10,7,10,52,6,52
2024-06-03 14:35:00 - 2024-06-03 14:40:00,68,42,16,10,8,0,26,19,33,6,11,7,15,9,5,16,38,7,63
2024-06-03 14:40:00 - 2024-06-03 14:45:00,68,39,22,12,6,0,38,27,38,8,10,10,18,14,2,14,37,6,61
2024-06-03 14:45:00 - 2024-06-03 14:50:00,65,40,22,9,6,0,15,24,45,14,21,9,16,9,7,12,43,7,57
2024-06-03 14:50:00 - 2024-06-03 14:55:00,75,48,9,9,9,0,18,12,53,4,12,5,11,6,8,14,40,8,45
2024-06-03 14:55:00 - 2024-06-03 15:00:00,50,32,14,6,5,0,26,16,39,6,13,3,19,7,7,9,50,6,62
2024-06-03 15:00:00 - 2024-06-03 15:05:00,51,33,14,6,0,0,30,19,35,3,12,6,15,11,9,14,36,8,60
2024-06-03 15:05:00 - 2024-06-03 15:10:00,62,39,14,9,4,0,23,20,32,9,15,3,13,12,6,8,37,5,40
2024-06-03 15:10:00 - 2024-06-03 15:15:00,62,42,13,5,0,0,16,15,41,2,5,3,9,6,3,8,31,4,34
2024-06-03 15:15:00 - 2024-06-03 15:20:00,43,29,13,4,2,0,17,13,20,6,9,8,12,4,3,5,33,3,46
2024-06-03 15:20:00 - 2024-06-03 15:25:00,49,28,18,9,5,0,15,21,29,3,6,5,8,10,3,3,32,2,39
2024-06-03 15:25:00 - 2024-06-03 15:30:00,73,49,16,6,8,0,17,19,35,10,12,4,11,9,2,9,42,4,29
